"site","date","sample_id","life_stage","size_class_1","size_class_2","size_class_3","size_class_4","size_class_5","size_class_6","size_class_7","size_class_8","size_class_9","size_class_10","size_class_11","size_class_12","size_class_13","size_class_14","size_class_15","size_class_16","size_class_17","size_class_18","size_class_19","size_class_20","size_class_21","size_class_22","size_class_23","size_class_24","size_class_25","size_class_26","size_class_27","sum"
"F",2016-06-24,"F_2016-06-24","fn",0,0,0,0,2,1,1,2,5,1,1,3,5,1,2,4,1,0,0,0,1,0,0,0,0,0,0,30
"F",2016-06-24,"F_2016-06-24","j",3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"F",2016-06-24,"F_2016-06-24","sum",3,0,2,1,2,1,1,2,6,1,2,4,8,2,6,5,1,1,2,1,4,1,0,0,0,0,0,56
"G",2016-04-19,"G_2016-04-19","m",0,0,0,0,0,0,1,0,1,1,1,5,3,7,3,2,6,3,5,2,0,1,0,0,0,0,0,41
"G",2016-04-19,"G_2016-04-19","fo",0,0,0,0,0,0,0,0,0,1,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,9
"G",2016-04-19,"G_2016-04-19","fn",0,0,0,0,0,0,3,3,9,3,4,2,4,7,2,2,1,1,1,0,0,0,0,0,0,0,0,42
"G",2016-04-19,"G_2016-04-19","j",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
"G",2016-04-19,"G_2016-04-19","sum",78,0,0,0,0,0,4,3,10,5,6,7,9,18,6,4,7,4,6,2,0,1,0,0,0,0,0,170
"G",2016-06-24,"G_2016-06-24","m",0,0,0,0,0,0,0,0,2,3,1,4,1,0,1,0,2,4,2,3,3,4,0,2,0,0,1,33
"G",2016-06-24,"G_2016-06-24","fo",0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,8
"G",2016-06-24,"G_2016-06-24","fn",0,0,0,0,11,9,11,6,7,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,50
"G",2016-06-24,"G_2016-06-24","j",24,15,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"G",2016-06-24,"G_2016-06-24","sum",24,15,10,13,11,9,11,6,9,5,2,4,4,1,5,1,4,4,2,3,3,4,0,2,0,0,1,153
"H",2016-04-19,"H_2016-04-19","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H",2016-04-19,"H_2016-04-19","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"H",2016-04-19,"H_2016-04-19","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H",2016-04-19,"H_2016-04-19","j",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"H",2016-04-19,"H_2016-04-19","sum",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"H",2016-06-24,"H_2016-06-24","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H",2016-06-24,"H_2016-06-24","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H",2016-06-24,"H_2016-06-24","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H",2016-06-24,"H_2016-06-24","j",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"H",2016-06-24,"H_2016-06-24","sum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"I",2016-04-19,"I_2016-04-19","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I",2016-04-19,"I_2016-04-19","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I",2016-04-19,"I_2016-04-19","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I",2016-04-19,"I_2016-04-19","j",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I",2016-04-19,"I_2016-04-19","sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I",2016-06-24,"I_2016-06-24","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I",2016-06-24,"I_2016-06-24","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I",2016-06-24,"I_2016-06-24","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I",2016-06-24,"I_2016-06-24","j",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"I",2016-06-24,"I_2016-06-24","sum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"K",2016-04-19,"K_2016-04-19","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K",2016-04-19,"K_2016-04-19","fo",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"K",2016-04-19,"K_2016-04-19","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K",2016-04-19,"K_2016-04-19","j",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"K",2016-04-19,"K_2016-04-19","sum",38,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41
"K",2016-06-24,"K_2016-06-24","m",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"K",2016-06-24,"K_2016-06-24","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"K",2016-06-24,"K_2016-06-24","fn",0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"K",2016-06-24,"K_2016-06-24","j",27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"K",2016-06-24,"K_2016-06-24","sum",27,0,2,0,0,1,2,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,39
"L",2016-04-20,"L_2016-04-20","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L",2016-04-20,"L_2016-04-20","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L",2016-04-20,"L_2016-04-20","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L",2016-04-20,"L_2016-04-20","j",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L",2016-04-20,"L_2016-04-20","sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L",2016-06-24,"L_2016-06-24","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L",2016-06-24,"L_2016-06-24","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L",2016-06-24,"L_2016-06-24","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L",2016-06-24,"L_2016-06-24","j",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L",2016-06-24,"L_2016-06-24","sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M",2016-04-20,"M_2016-04-20","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,1,1,0,0,0,0,10
"M",2016-04-20,"M_2016-04-20","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,1,0,0,0,0,0,0,0,0,8
"M",2016-04-20,"M_2016-04-20","fn",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
"M",2016-04-20,"M_2016-04-20","j",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"M",2016-04-20,"M_2016-04-20","sum",63,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,5,4,3,2,0,1,1,0,0,0,0,84
"M",2016-06-24,"M_2016-06-24","m",0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,9
"M",2016-06-24,"M_2016-06-24","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"M",2016-06-24,"M_2016-06-24","fn",0,0,0,0,3,7,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"M",2016-06-24,"M_2016-06-24","j",87,11,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
"M",2016-06-24,"M_2016-06-24","sum",87,11,19,10,3,7,1,1,0,2,4,2,1,2,0,1,1,0,1,0,0,0,0,1,0,0,0,154
"N",2016-04-20,"N_2016-04-20","m",0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,7
"N",2016-04-20,"N_2016-04-20","fo",0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,1,1,0,0,0,0,0,0,0,0,0,0,11
"N",2016-04-20,"N_2016-04-20","fn",0,0,0,0,1,0,1,0,0,1,8,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16
"N",2016-04-20,"N_2016-04-20","j",7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"N",2016-04-20,"N_2016-04-20","sum",7,0,0,1,1,0,1,0,0,2,8,4,5,8,0,3,1,1,0,0,0,0,0,0,0,0,0,42
"N",2016-06-24,"N_2016-06-24","m",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,5
"N",2016-06-24,"N_2016-06-24","fo",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5
"N",2016-06-24,"N_2016-06-24","fn",0,0,0,0,13,16,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"N",2016-06-24,"N_2016-06-24","j",90,16,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
"N",2016-06-24,"N_2016-06-24","sum",90,16,6,15,13,16,5,3,4,2,1,0,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,178
"O",2016-04-21,"O_2016-04-21","m",0,0,0,0,0,0,1,4,5,9,5,8,6,5,5,5,6,6,1,1,3,2,1,0,0,0,0,73
"O",2016-04-21,"O_2016-04-21","fo",0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,9
