"site","date","sample_id","phylum","class","sub_class","order","family","genus","species","abundance","origin"
"G","2016-06-24","G_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",3132,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Malacostraca",NA,"Isopoda","Asellidae","Asellus","Asellus aquaticus",8,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,16,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,6,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Megaloptera","Sialidae","Sialis",NA,1,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,4,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Anabolia","Anabolia furcata",6,2
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche angustipennis",6,2
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Potamophylax",NA,1,2
"H","2016-06-24","H_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,587,1
"H","2016-06-24","H_2016-06-24","Annelida","Clitellata","Hirudinea","Arhynchobdellida","Erpobdellidae","Erpobdella",NA,1,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",1,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,107,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,2,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,10,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,30,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis",NA,3,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Leptoceridae","Athripsodes",NA,1,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,36,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis","Caenis luctuosa",4,2
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",1,2
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Leptophlebiidae","Habrophlebia",NA,5,2
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydraenidae","Hydraena",NA,2,2
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche bulbifera",45,2
"I","2016-06-24","I_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,25,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",1,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Maxillopoda","Copepoda",NA,NA,NA,NA,2,1
"I","2016-06-24","I_2016-06-24","Arthropoda",NA,"Ostracoda",NA,NA,NA,NA,1,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,2,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydrophilidae",NA,NA,2,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,75,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Ceratopogonidae",NA,NA,1,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Empididae",NA,NA,1,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,9,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tabanidae",NA,NA,1,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,111,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis",NA,6,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella",NA,3,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Leptoceridae","Athripsodes",NA,7,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,2,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",1,2
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Odonata","Gomphidae","Onychogomphus","Onychogomphus forcipatus",2,2
"K","2016-06-24","K_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,49,1
"K","2016-06-24","K_2016-06-24","Annelida","Clitellata","Hirudinea","Arhynchobdellida","Erpobdellidae","Erpobdella",NA,1,1
